train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
0.475,7552,-281.66577501999996,59,0,54.78,26389,580,0.0003,-0.037617245130240916,-5.9604644775390625e-06,0.2,904.7750244140625,1969.4613403320313,0.0296875,-10.273075151443482,0.008513938,,
0.475,7680,,,,,,590,0.0003,-0.03497786438092589,-3.4570693969726562e-06,0.2,1245.5638427734375,2789.668420410156,0.028125,-10.27873969078064,0.0073380778,-169.84253700000002,134.4
0.475,7680,-282.07945612,60,0,54.66,27473,,,,,,,,,,,,
0.475,7808,-284.34365115,61,0,55.14,27730,600,0.0003,-0.039482227293774486,-1.7881393432617188e-06,0.2,868.5391235351562,1839.4901611328125,0.04375,-10.28746166229248,0.01051862,,
0.475,7936,-282.59016628,62,0,54.89,27996,610,0.0003,-0.03842360991984606,-1.6689300537109375e-06,0.2,1087.343994140625,2467.3804321289062,0.05078125,-10.29910192489624,0.010742087,,
0.475,8064,-283.28949058999996,63,0,54.96,28264,620,0.0003,-0.02927593272179365,-3.337860107421875e-06,0.2,1542.7984619140625,3235.01474609375,0.01484375,-10.310901117324828,0.0061532254,,
0.475,8192,,,,,,630,0.0003,-0.032570704072713855,-4.887580871582031e-06,0.2,1387.8638916015625,2349.01923828125,0.01796875,-10.318519353866577,0.006732345,-209.5417602,101.0
0.475,8192,-285.56602645,64,0,55.36,29341,,,,,,,,,,,,
0.475,8320,-286.29169141,65,0,55.59,29615,640,0.0003,-0.024978785030543803,-2.5033950805664062e-06,0.2,1385.4102783203125,2809.2451293945314,0.00546875,-10.321128654479981,0.004807213,,
0.475,8448,-284.73089455999997,66,0,55.29,29889,650,0.0003,-0.03756471835076809,-2.0265579223632812e-06,0.2,913.7501831054688,2347.779888916016,0.028125,-10.326223134994507,0.009321529,,
0.475,8576,-280.17435969,67,0,54.49,30154,660,0.0003,-0.03122683325782418,-5.125999450683594e-06,0.2,1358.6234130859375,2676.639208984375,0.01640625,-10.31445255279541,0.006200818,,
0.475,8704,,,,,,670,0.0003,-0.04872800344601273,-7.271766662597656e-06,0.2,755.1194458007812,1502.0644470214843,0.059375,-10.308939266204835,0.012743893,-232.55033659999998,161.2
0.475,8704,-280.23227526000005,68,0,54.55,31262,,,,,,,,,,,,
0.475,8832,-282.39969752,69,0,55.07,31506,680,0.0003,-0.0278149688616395,-2.86102294921875e-06,0.2,1461.495361328125,3046.3333374023437,0.0125,-10.312095069885254,0.0047103656,,
0.475,8960,-282.52095364999997,70,0,55.14,31773,690,0.0003,-0.03348321076482534,-7.152557373046875e-07,0.2,1331.09326171875,2958.527978515625,0.0171875,-10.306438398361205,0.0071243756,,
0.475,9088,-282.37634705,71,0,55.06,32030,700,0.0003,-0.03909362647682428,-1.6689300537109375e-06,0.2,970.1851806640625,2250.348809814453,0.0421875,-10.294797420501709,0.010390129,,
0.475,9216,,,,,,710,0.0003,-0.034357013367116454,-4.410743713378906e-06,0.2,1246.440185546875,2409.247918701172,0.02890625,-10.30113868713379,0.0070457445,-201.646002,200.8
0.475,9216,-280.10560511,72,0,54.97,33143,,,,,,,,,,,,
0.475,9344,-279.22362946,73,0,54.96,33410,720,0.0003,-0.0456924662925303,-8.225440979003906e-06,0.2,777.9828491210938,1937.0890869140626,0.05546875,-10.303024578094483,0.011960672,,
0.475,9472,-273.30071571,74,0,53.96,33689,730,0.0003,-0.03980736518278718,-1.1920928955078125e-06,0.2,984.9505004882812,2209.6870727539062,0.03125,-10.31420636177063,0.009215033,,
0.475,9600,-270.38816994,75,0,53.36,33974,740,0.0003,-0.0474208208732307,-5.125999450683594e-06,0.2,709.343505859375,1575.1103942871093,0.05078125,-10.301765298843383,0.011896277,,
0.475,9728,,,,,,750,0.0003,-0.045926601020619275,-3.0994415283203125e-06,0.2,1000.1062622070312,1782.1352233886719,0.04921875,-10.30942440032959,0.011739434,-28.3397122,22.0
0.475,9728,-270.24956586,76,0,53.26,34610,,,,,,,,,,,,
0.475,9856,-276.59064978,77,0,54.39,34902,760,0.0003,-0.029053145134821535,-7.510185241699219e-06,0.2,1350.995849609375,2620.4853393554686,0.01875,-10.307913732528686,0.0057514617,,
0.475,9984,-272.98467881,78,0,53.78,35191,770,0.0003,-0.034270145604386924,-8.344650268554688e-07,0.2,1821.874267578125,3847.911486816406,0.01875,-10.315112018585205,0.007053685,,
0.45125,10112,-269.95708342,79,0,52.9,35465,780,0.0003,-0.03516081832349301,-4.76837158203125e-06,0.2,1485.1241455078125,3372.8460693359375,0.025,-10.310611915588378,0.008911773,,
0.45125,10240,,,,,,790,0.0003,-0.0483357404358685,-1.3113021850585938e-06,0.2,1074.87109375,2368.597235107422,0.06640625,-10.30039448738098,0.012766693,-45.5431926,43.6
0.45125,10240,-269.6382701499999,80,0,52.8,36381,,,,,,,,,,,,
0.45125,10368,-269.46694775,81,0,52.75,36649,800,0.0003,-0.06193095743656159,-4.0531158447265625e-06,0.2,602.5953369140625,1238.9209777832032,0.11796875,-10.30494303703308,0.0218568,,
