train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
0.42868749999999994,15872,-5.91041647,124,0,8.82,30490,,,,,,,,,
0.42868749999999994,16000,-5.889725939999998,125,0,8.9,30575,0.4135170966386795,124,1.0,0.001,0.3290853798389435,0.8925172388553619,0.13383962213993073,,
0.42868749999999994,16128,-5.89444569,126,0,8.95,30668,0.33326268196105957,125,1.0,0.001,0.28280535340309143,0.8994365409016609,0.27267587184906006,,
0.42868749999999994,16256,-5.809625379999999,127,0,9.15,30748,0.36593571603298186,126,1.0,0.001,0.2659420669078827,0.8976406380534172,0.21823538839817047,,
0.42868749999999994,16384,,,,,,0.44048836529254914,127,1.0,0.001,0.19355905055999756,0.8597068190574646,0.1903063952922821,-10.1913464,179.4
0.42868749999999994,16384,-5.79494056,128,0,9.56,31225,,,,,,,,,
0.42868749999999994,16512,-5.84947029,129,0,10.12,31300,0.34667534232139585,128,1.0,0.001,0.32359766960144043,0.8980823829770088,0.25313255190849304,,
0.42868749999999994,16640,-5.813269889999999,130,0,11.36,31371,0.5367150723934173,129,1.0,0.001,0.19620545208454132,0.7885684221982956,0.8565395474433899,,
0.42868749999999994,16768,-5.7383182,131,0,11.62,31465,0.2828349441289902,130,1.0,0.001,0.32753247022628784,0.9142776802182198,0.18093039095401764,,
0.42868749999999994,16896,,,,,,0.7313367366790772,131,1.0,0.001,0.217410147190094,0.5860841572284698,0.061970584094524384,-21.206763799999997,89.4
0.42868749999999994,16896,-5.74619181,132,0,12.16,32060,,,,,,,,,
0.42868749999999994,17024,-6.534389559999999,133,0,12.44,32196,0.6784895777702331,132,1.0,0.001,0.47343745827674866,0.7065856456756592,0.03601445257663727,,
0.42868749999999994,17152,-6.79543465,134,0,11.83,32331,17.801715660095216,133,1.0,0.001,0.36220574378967285,0.17254799604415894,0.24652010202407837,,
0.42868749999999994,17280,-6.759249769999999,135,0,10.19,32469,3.1920056343078613,134,1.0,0.001,0.12047701328992844,0.6501420140266418,0.1536000669002533,,
0.42868749999999994,17408,,,,,,1.164289665222168,135,1.0,0.001,0.39777496457099915,0.8043554574251175,0.06691975146532059,-23.8648212,82.4
0.42868749999999994,17408,-6.94246251,136,0,8.03,33116,,,,,,,,,
0.42868749999999994,17536,-7.0178601800000004,137,0,7.69,33254,2.1615875244140623,136,1.0,0.001,0.08036558330059052,0.6304357647895813,0.13788452744483948,,
0.42868749999999994,17664,-6.36364824,138,0,6.36,33383,1.6805310249328613,137,1.0,0.001,0.26301270723342896,0.5869535505771637,0.3878493905067444,,
